A_h,E_h,Ep,theta,xsect_h,xsect_e_h,xsect_d,xsect_e_d
1,10.602,1.165,38.975,0.412181536,0.061643651,0.327338633,0.047039733
1,10.602,1.185,38.975,0.405146768,0.054266003,0.324900106,0.041833772
1,10.602,1.205,38.975,0.396936674,0.047770723,0.319187081,0.036925552
1,10.602,1.225,38.975,0.384450039,0.041358492,0.310867977,0.032176482
1,10.602,1.245,38.975,0.370372132,0.03600067,0.303942062,0.028428201
1,10.602,1.265,38.975,0.358678341,0.031231997,0.293720792,0.024636227
1,10.602,1.285,38.975,0.340592993,0.026736089,0.284098993,0.021512794
1,10.602,1.305,38.975,0.336247596,0.023840814,0.284216629,0.019460857
1,10.602,1.325,38.975,0.329162313,0.021139121,0.268712333,0.016697273
1,10.602,1.345,38.975,0.315449629,0.018344884,0.261713222,0.014755594
1,10.602,1.365,38.975,0.306872731,0.016249462,0.257319623,0.013248583
1,10.602,1.385,38.975,0.301214772,0.014619804,0.241207491,0.011431949
1,10.602,1.405,38.975,0.294072484,0.013025885,0.23350857,0.010151096
1,10.602,1.425,38.975,0.284557329,0.011649057,0.225225482,0.009081361
1,10.602,1.445,38.975,0.283171601,0.010724239,0.219577722,0.008264845
1,10.602,1.465,38.975,0.272831258,0.009655583,0.216117959,0.007645723
1,10.602,1.485,38.975,0.260893684,0.008636577,0.205737041,0.006869696
1,10.602,1.505,38.975,0.254376076,0.007958323,0.20207592,0.006436832
1,10.602,1.525,38.975,0.246857201,0.007388231,0.194473184,0.005987507
1,10.602,1.545,38.975,0.234999313,0.006436869,0.18600736,0.004997962
1,10.602,1.565,38.975,0.22231586,0.005840116,0.178207964,0.004597275
1,10.602,1.585,38.975,0.214291053,0.005435266,0.172000636,0.004288026
1,10.602,1.605,38.975,0.208807938,0.005118605,0.167361342,0.004042216
1,10.602,1.625,38.975,0.203413381,0.004871547,0.160522394,0.003799468
1,10.602,1.645,38.975,0.192497311,0.004502245,0.152772883,0.003549223
1,10.602,1.665,38.975,0.185315153,0.00427195,0.148096317,0.003374734
1,10.602,1.685,38.975,0.180445712,0.004105961,0.140072244,0.003164126
1,10.602,1.705,38.975,0.175505626,0.003970736,0.133790618,0.003007581
1,10.602,1.725,38.975,0.168538672,0.003775091,0.131646991,0.002931347
1,10.602,1.745,38.975,0.161196987,0.00360708,0.12423397,0.002768579
1,10.602,1.765,38.975,0.15530788,0.003480558,0.12117753,0.00270826
1,10.602,1.785,38.975,0.149108957,0.003332374,0.113120708,0.002529829
