      spec     ebeam        ep    thetac        xb        q2        w2      xsec      perr      stat      gerr   density       cer     model       kin       csb       acc       rad      live      pion
   0.00000  10.60200   3.48206  21.03500   0.36687   4.90169   9.33955   0.82483   0.00916   0.00696   0.01329   0.01130   0.00100   0.00202   0.00226   0.00160   0.00300   0.00501   0.00047   0.00140
   0.00000  10.60200   3.39074  21.03500   0.35272   4.77314   9.63946   0.82176   0.00864   0.00606   0.01308   0.01130   0.00100   0.00098   0.00082   0.00211   0.00300   0.00501   0.00047   0.00140
   0.00000  10.60200   3.29942  21.03500   0.33893   4.64458   9.93940   0.82859   0.00860   0.00584   0.01331   0.01130   0.00100   0.00122   0.00168   0.00279   0.00300   0.00502   0.00047   0.00140
   0.00000  10.60200   3.20809  21.03500   0.32548   4.51602  10.23935   0.82762   0.00888   0.00614   0.01350   0.01130   0.00100   0.00172   0.00076   0.00369   0.00300   0.00502   0.00047   0.00140
   0.00000  10.60200   4.23522  21.03500   0.49901   5.96190   6.86600   0.78533   0.00768   0.00562   0.01321   0.01130   0.00100   0.00276   0.00097   0.00019   0.00300   0.00500   0.00107   0.00140
   0.00000  10.60200   4.15916  21.03500   0.48426   5.85484   7.11580   0.78905   0.00731   0.00497   0.01315   0.01130   0.00100   0.00232   0.00125   0.00023   0.00300   0.00500   0.00107   0.00140
   0.00000  10.60200   4.08310  21.03500   0.46986   5.74777   7.36560   0.78453   0.00714   0.00459   0.01301   0.01130   0.00100   0.00169   0.00063   0.00028   0.00300   0.00500   0.00107   0.00140
   0.00000  10.60200   4.00703  21.03500   0.45579   5.64069   7.61542   0.79383   0.00712   0.00446   0.01310   0.01130   0.00100   0.00085   0.00222   0.00035   0.00300   0.00500   0.00107   0.00140
   0.00000  10.60200   3.93096  21.03500   0.44203   5.53360   7.86526   0.79265   0.00722   0.00450   0.01301   0.01130   0.00100   0.00050   0.00171   0.00043   0.00300   0.00500   0.00107   0.00140
   0.00000  10.60200   3.85489  21.03500   0.42859   5.42651   8.11510   0.80064   0.00734   0.00472   0.01295   0.01130   0.00100   0.00005   0.00122   0.00054   0.00300   0.00500   0.00107   0.00140
   0.00000  10.60200   4.77511  21.03500   0.61475   6.72191   5.09286   0.73953   0.01058   0.00972   0.01329   0.01130   0.00100   0.00175   0.00293   0.00005   0.00300   0.00500   0.00046   0.00140
   0.00000  10.60200   4.71429  21.03500   0.60065   6.63629   5.29262   0.74632   0.00957   0.00860   0.01337   0.01130   0.00100   0.00132   0.00350   0.00006   0.00300   0.00500   0.00046   0.00140
   0.00000  10.60200   4.65346  21.03500   0.58684   6.55067   5.49238   0.75562   0.00895   0.00783   0.01321   0.01130   0.00100   0.00105   0.00290   0.00007   0.00300   0.00500   0.00046   0.00140
