      spec     ebeam        ep    thetac        xb        q2        w2      xsec      perr      stat      gerr   density       cer       kin       csb       acc       rad      live      pion
   1.00000  10.60200   2.40187  21.03500   0.22055   3.39386  12.87441   0.88034   0.01452   0.01302   0.01597   0.01100   0.00100   0.00027   0.00134   0.00011   0.00519   0.01011   0.00140
   1.00000  10.60200   2.42841  21.03500   0.22371   3.43136  12.78710   0.85720   0.01462   0.01313   0.01595   0.01100   0.00100   0.00024   0.00123   0.00011   0.00518   0.01011   0.00140
   1.00000  10.60200   2.45495  21.03500   0.22690   3.46886  12.69980   0.85556   0.01481   0.01333   0.01594   0.01100   0.00100   0.00023   0.00114   0.00011   0.00516   0.01011   0.00140
   1.00000  10.60200   2.48149  21.03500   0.23010   3.50636  12.61249   0.86974   0.01488   0.01342   0.01593   0.01100   0.00100   0.00028   0.00105   0.00011   0.00515   0.01011   0.00140
   1.00000  10.60200   2.50803  21.03500   0.23332   3.54386  12.52519   0.86967   0.01495   0.01351   0.01592   0.01100   0.00100   0.00024   0.00096   0.00011   0.00514   0.01011   0.00140
   1.00000  10.60200   2.53457  21.03500   0.23657   3.58136  12.43788   0.90317   0.01506   0.01365   0.01592   0.01100   0.00100   0.00024   0.00089   0.00012   0.00513   0.01011   0.00140
   1.00000  10.60200   2.56111  21.03500   0.23983   3.61886  12.35058   0.87715   0.01514   0.01375   0.01591   0.01100   0.00100   0.00027   0.00082   0.00012   0.00512   0.01011   0.00140
   1.00000  10.60200   2.58765  21.03500   0.24312   3.65637  12.26327   0.85062   0.01525   0.01386   0.01590   0.01100   0.00100   0.00027   0.00075   0.00012   0.00511   0.01011   0.00140
   1.00000  10.60200   2.61419  21.03500   0.24643   3.69387  12.17597   0.86445   0.01542   0.01405   0.01590   0.01100   0.00100   0.00028   0.00069   0.00012   0.00510   0.01011   0.00140
   1.00000  10.60200   2.64073  21.03500   0.24976   3.73137  12.08866   0.89153   0.01562   0.01425   0.01590   0.01100   0.00100   0.00033   0.00064   0.00012   0.00510   0.01011   0.00140
   1.00000  10.60200   2.66727  21.03500   0.25312   3.76887  12.00136   0.87479   0.01579   0.01445   0.01589   0.01100   0.00100   0.00030   0.00059   0.00012   0.00509   0.01011   0.00140
   1.00000  10.60200   2.69381  21.03500   0.25649   3.80637  11.91406   0.86586   0.01602   0.01471   0.01589   0.01100   0.00100   0.00031   0.00054   0.00012   0.00508   0.01011   0.00140
   1.00000  10.60200   2.72035  21.03500   0.25989   3.84387  11.82675   0.89467   0.01623   0.01495   0.01588   0.01100   0.00100   0.00032   0.00050   0.00012   0.00508   0.01011   0.00140
   1.00000  10.60200   2.74689  21.03500   0.26331   3.88137  11.73945   0.85532   0.01646   0.01519   0.01588   0.01100   0.00100   0.00033   0.00046   0.00012   0.00507   0.01011   0.00140
   1.00000  10.60200   2.77343  21.03500   0.26676   3.91887  11.65214   0.84739   0.01667   0.01541   0.01588   0.01100   0.00100   0.00035   0.00042   0.00013   0.00507   0.01011   0.00140
   1.00000  10.60200   2.79997  21.03500   0.27023   3.95637  11.56484   0.86913   0.01669   0.01547   0.01588   0.01100   0.00100   0.00033   0.00039   0.00013   0.00506   0.01011   0.00140
   1.00000  10.60200   2.82651  21.03500   0.27372   3.99388  11.47753   0.86077   0.01710   0.01589   0.01587   0.01100   0.00100   0.00033   0.00036   0.00013   0.00506   0.01011   0.00140
   1.00000  10.60200   2.85305  21.03500   0.27724   4.03138  11.39023   0.88175   0.01730   0.01609   0.01587   0.01100   0.00100   0.00037   0.00033   0.00013   0.00505   0.01011   0.00140
   1.00000  10.60200   2.87959  21.03500   0.28078   4.06888  11.30292   0.85461   0.01742   0.01624   0.01587   0.01100   0.00100   0.00034   0.00030   0.00013   0.00505   0.01011   0.00140
   1.00000  10.60200   2.90613  21.03500   0.28434   4.10638  11.21562   0.84628   0.01773   0.01657   0.01587   0.01100   0.00100   0.00034   0.00028   0.00013   0.00505   0.01011   0.00140
   1.00000  10.60200   2.93267  21.03500   0.28793   4.14388  11.12831   0.85422   0.01794   0.01679   0.01587   0.01100   0.00100   0.00035   0.00026   0.00013   0.00504   0.01011   0.00140
   1.00000  10.60200   2.95921  21.03500   0.29155   4.18138  11.04101   0.84689   0.01831   0.01718   0.01587   0.01100   0.00100   0.00036   0.00024   0.00013   0.00504   0.01011   0.00140
   1.00000  10.60200   2.98575  21.03500   0.29519   4.21888  10.95370   0.85761   0.01845   0.01736   0.01587   0.01100   0.00100   0.00033   0.00022   0.00014   0.00504   0.01011   0.00140
   1.00000  10.60200   3.01229  21.03500   0.29885   4.25638  10.86640   0.84850   0.01893   0.01784   0.01586   0.01100   0.00100   0.00031   0.00020   0.00014   0.00503   0.01011   0.00140
   1.00000  10.60200   3.03883  21.03500   0.30254   4.29389  10.77909   0.83645   0.01920   0.01812   0.01586   0.01100   0.00100   0.00033   0.00018   0.00014   0.00503   0.01011   0.00140
   1.00000  10.60200   3.06537  21.03500   0.30626   4.33139  10.69179   0.85099   0.01968   0.01861   0.01586   0.01100   0.00100   0.00032   0.00017   0.00014   0.00503   0.01011   0.00140
   1.00000  10.60200   3.09191  21.03500   0.31000   4.36889  10.60449   0.83900   0.01991   0.01887   0.01586   0.01100   0.00100   0.00032   0.00016   0.00014   0.00503   0.01011   0.00140
   1.00000  10.60200   3.11845  21.03500   0.31377   4.40639  10.51718   0.80493   0.02040   0.01937   0.01586   0.01100   0.00100   0.00033   0.00014   0.00014   0.00503   0.01011   0.00140
   1.00000  10.60200   3.14499  21.03500   0.31757   4.44389  10.42988   0.83312   0.02078   0.01978   0.01586   0.01100   0.00100   0.00037   0.00013   0.00014   0.00502   0.01011   0.00140
   1.00000  10.60200   3.17153  21.03500   0.32139   4.48139  10.34257   0.82359   0.02132   0.02033   0.01586   0.01100   0.00100   0.00034   0.00012   0.00015   0.00502   0.01011   0.00140
   1.00000  10.60200   3.19807  21.03500   0.32525   4.51889  10.25527   0.83378   0.02147   0.02052   0.01586   0.01100   0.00100   0.00040   0.00011   0.00015   0.00502   0.01011   0.00140
   1.00000  10.60200   3.22461  21.03500   0.32912   4.55639  10.16796   0.80750   0.02207   0.02112   0.01586   0.01100   0.00100   0.00036   0.00010   0.00015   0.00502   0.01011   0.00140
   1.00000  10.60200   2.93582  21.03500   0.28836   4.14833  11.11795   0.85956   0.01070   0.00902   0.01283   0.01100   0.00100   0.00035   0.00025   0.00013   0.00504   0.00386   0.00140
   1.00000  10.60200   2.96826  21.03500   0.29279   4.19417  11.01124   0.84933   0.01078   0.00912   0.01282   0.01100   0.00100   0.00037   0.00023   0.00013   0.00504   0.00386   0.00140
   1.00000  10.60200   3.00070  21.03500   0.29725   4.24001  10.90453   0.85140   0.01090   0.00925   0.01282   0.01100   0.00100   0.00036   0.00021   0.00014   0.00504   0.00386   0.00140
   1.00000  10.60200   3.03314  21.03500   0.30175   4.28585  10.79781   0.85519   0.01099   0.00936   0.01282   0.01100   0.00100   0.00034   0.00019   0.00014   0.00503   0.00386   0.00140
   1.00000  10.60200   3.06558  21.03500   0.30629   4.33168  10.69110   0.84353   0.01100   0.00939   0.01282   0.01100   0.00100   0.00031   0.00017   0.00014   0.00503   0.00386   0.00140
   1.00000  10.60200   3.09802  21.03500   0.31087   4.37752  10.58439   0.84237   0.01109   0.00950   0.01282   0.01100   0.00100   0.00033   0.00015   0.00014   0.00503   0.00386   0.00140
   1.00000  10.60200   3.13046  21.03500   0.31549   4.42336  10.47767   0.85707   0.01120   0.00963   0.01282   0.01100   0.00100   0.00035   0.00014   0.00014   0.00503   0.00386   0.00140
   1.00000  10.60200   3.16290  21.03500   0.32015   4.46920  10.37096   0.84592   0.01125   0.00969   0.01282   0.01100   0.00100   0.00032   0.00013   0.00015   0.00502   0.00386   0.00140
   1.00000  10.60200   3.19534  21.03500   0.32485   4.51504  10.26425   0.84292   0.01132   0.00978   0.01282   0.01100   0.00100   0.00039   0.00011   0.00015   0.00502   0.00386   0.00140
   1.00000  10.60200   3.22778  21.03500   0.32959   4.56087  10.15753   0.83903   0.01156   0.01001   0.01281   0.01100   0.00100   0.00035   0.00010   0.00015   0.00502   0.00386   0.00140
   1.00000  10.60200   3.26022  21.03500   0.33437   4.60671  10.05082   0.83404   0.01169   0.01018   0.01281   0.01100   0.00100   0.00036   0.00009   0.00015   0.00502   0.00386   0.00140
   1.00000  10.60200   3.29266  21.03500   0.33920   4.65255   9.94411   0.83215   0.01175   0.01028   0.01281   0.01100   0.00100   0.00038   0.00008   0.00015   0.00502   0.00386   0.00140
   1.00000  10.60200   3.32510  21.03500   0.34407   4.69839   9.83740   0.82578   0.01194   0.01050   0.01281   0.01100   0.00100   0.00032   0.00008   0.00016   0.00502   0.00386   0.00140
   1.00000  10.60200   3.35754  21.03500   0.34898   4.74422   9.73068   0.82154   0.01214   0.01072   0.01281   0.01100   0.00100   0.00039   0.00007   0.00016   0.00501   0.00386   0.00140
   1.00000  10.60200   3.38998  21.03500   0.35394   4.79006   9.62397   0.83520   0.01229   0.01089   0.01281   0.01100   0.00100   0.00043   0.00006   0.00016   0.00501   0.00386   0.00140
