Run	Mom	Tgt	Theta	Beam E	BCM1PS2	PS3	
1565	5.7	1.01	-20.995	10.602	46.943	1	-1
1571	5.7	1.01	-20.995	10.602	43.572	1	-1
1572	5.7	1.01	-20.995	10.602	44.603	1	-1
1573	5.7	26.98	-20.995	10.602	38.246	1	-1
1574	5.7	2.01	-20.995	10.602	48.196	1	-1
1575	5.7	2.01	-20.995	10.602	47.144	1	-1
1576	5.7	2.01	-20.995	10.602	46.473	1	-1
1577	5.7	2.01	-20.995	10.602	48.04	1	-1
1578	5.7	2.01	-20.995	10.602	48.77	1	-1
1579	5.7	10.01	-20.995	10.602	36.927	1	-1
1580	5.7	11.01	-20.995	10.602	29.827	1	-1
1581	5.7	11.01	-20.995	10.602	32.033	1	-1
1586	5.7	9.01	-20.995	10.602	23.386	1	-1
1588	5.7	12.01	-20.995	10.602	29.758	1	-1
1589	5.7	12.01	-20.995	10.602	28.676	1	-1
1590	5.1	12.01	-20.995	10.602	36.26	1	-1
1591	5.1	12.01	-20.995	10.602	36.734	1	-1
1592	5.1	9.01	-20.995	10.602	33.567	1	-1
1593	5.1	9.01	-20.995	10.602	29.942	1	-1
1594	5.1	11.01	-20.995	10.602	34.454	1	-1
1595	5.1	10.01	-20.995	10.602	33.069	1	-1
1596	5.1	26.98	-20.995	10.602	35.059	1	-1
1597	5.1	2.01	-20.995	10.602	32.085	1	-1
1599	5.1	2.01	-20.995	10.602	36.942	1	-1
1600	5.1	1.01	-20.995	10.602	35.114	1	-1
1601	5.1	1.01	-20.995	10.602	36.559	1	-1
1602	5.1	1.01	-20.995	10.602	34.803	1	-1
1603	4.5	1.01	-20.995	10.602	36.695	1	-1
1604	4.5	1.01	-20.995	10.602	36.621	1	-1
1605	4.5	1.01	-20.995	10.602	37.35	1	-1
1606	4.5	2.01	-20.995	10.602	38.154	1	-1
1607	4.5	2.01	-20.995	10.602	38.86	1	-1
1608	4.5	2.01	-20.995	10.602	35.333	1	-1
1609	4.5	26.98	-20.995	10.602	35.87	1	-1
1610	4.5	26.98	-20.995	10.602	38.786	1	-1
1611	4.5	10.01	-20.995	10.602	36.903	1	-1
1612	4.5	10.01	-20.995	10.602	36.495	1	-1
1613	4.5	10.01	-20.995	10.602	38.136	1	-1
1614	4.5	10.01	-20.995	10.602	35.75	1	-1
1615	4.5	11.01	-20.995	10.602	35.607	1	-1
1616	4.5	11.01	-20.995	10.602	37.15	1	-1
1617	4.5	2.01	-20.995	10.602	34.176	1	-1
1619	4.5	12.01	-20.995	10.602	38.963	1	-1
1620	4.5	9.01	-20.995	10.602	35.986	1	-1
1621	4.5	9.01	-20.995	10.602	31.564	1	-1
1622	4	12.01	-20.995	10.602	40.868	1	-1
1623	4	12.01	-20.995	10.602	34.324	1	-1
1624	4	2.01	-20.995	10.602	54.601	2	-1
1625	4	2.01	-20.995	10.602	48.932	2	-1
1626	4	1.01	-20.995	10.602	43.135	2	-1
1627	4	1.01	-20.995	10.602	43.789	1	-1
1628	4	26.98	-20.995	10.602	38.603	1	-1
1629	4	26.98	-20.995	10.602	34.834	1	-1
1630	4	9.01	-20.995	10.602	37.772	2	-1
1631	4	9.01	-20.995	10.602	40.49	2	-1
1632	4	9.01	-20.995	10.602	40.626	2	-1
1633	4	11.01	-20.995	10.602	38.287	1	-1
1634	3.3	10.01	-20.995	10.602	33.614	2	-1
1635	3.3	10.01	-20.995	10.602	31.752	2	-1
1636	3.3	10.01	-20.995	10.602	35.179	2	-1
1637	3.3	1.01	-20.995	10.602	37.308	2	-1
1638	3.3	1.01	-20.995	10.602	42.114	17	-1
1639	3.3	1.01	-20.995	10.602	40.693	17	-1
1640	3.3	2.01	-20.995	10.602	39.673	3	-1
1641	3.3	26.98	-20.995	10.602	34.695	1	-1
1643	1.5	26.98	-58.98	10.602	35.817	1	-1
1644	1.5	1.01	-58.98	10.602	40.134	1	-1
1645	1.5	1.01	-58.98	10.602	44.499	1	-1
1649	1.5	1.01	-58.98	10.602	43.962	1	-1
1651	1.5	1.01	-58.98	10.602	44.04	1	-1
1652	1.5	2.01	-58.98	10.602	45.963	1	-1
1653	1.5	2.01	-58.98	10.602	44.286	1	-1
1654	1.5	2.01	-58.98	10.602	42.311	1	-1
1655	1.5	2.01	-58.98	10.602	45.829	1	-1
1656	1.5	26.98	-58.98	10.602	37.89	1	-1
1657	1.5	26.98	-58.98	10.602	38.105	1	-1
1658	1.5	1.01	-58.98	10.602	46.054	1	-1
1659	1.5	1.01	-58.98	10.602	49.794	1	-1
1660	1.5	1.01	-58.98	10.602	43.564	1	-1
1661	1.5	1.01	-58.98	10.602	42.801	1	-1
1662	1.5	1.01	-58.98	10.602	42.995	1	-1
1663	1.5	1.01	-58.98	10.602	42.869	1	-1
1664	1.5	1.01	-58.98	10.602	42.691	1	-1
1665	1.5	2.01	-58.98	10.602	42.182	1	-1
1666	1.5	2.01	-58.98	10.602	42.75	1	-1
1667	1.5	2.01	-58.98	10.602	41.301	1	-1
1668	1.5	2.01	-58.98	10.602	39.346	1	-1
1669	1.5	2.01	-58.98	10.602	37.583	1	-1
1670	1.5	2.01	-58.98	10.602	39.642	1	-1
1671	1.5	26.98	-58.98	10.602	37.512	1	-1
1672	1.5	26.98	-58.98	10.602	37.695	1	-1
1673	1.5	26.98	-58.98	10.602	37.709	1	-1
1674	1.5	1.01	-58.98	10.602	36.6	1	-1
1675	1.5	1.01	-58.98	10.602	35.519	1	-1
1676	1.5	1.01	-58.98	10.602	37.119	1	-1
1677	1.5	1.01	-58.98	10.602	37.202	1	-1
1678	1.5	26.98	-58.98	10.602	37.095	1	-1
1679	1.5	2.01	-58.98	10.602	41.297	1	-1
1683	1.5	2.01	-58.98	10.602	41.101	1	-1
1684	1.5	2.01	-58.98	10.602	42.354	1	-1
1685	1.5	2.01	-58.98	10.602	42.524	1	-1
1686	1.5	1.01	-58.98	10.602	41.685	1	-1
1687	1.5	1.01	-58.98	10.602	41.164	1	-1
1688	1.5	1.01	-58.98	10.602	41.199	1	-1
1689	1.5	1.01	-58.98	10.602	41.746	1	-1
1690	1.5	1.01	-58.98	10.602	39.893	1	-1
1691	1.5	1.01	-58.98	10.602	40.154	1	-1
1692	1.5	1.01	-58.98	10.602	39.463	1	-1
1693	1.5	26.98	-58.98	10.602	35.876	1	-1
1694	1.5	2.01	-58.98	10.602	40.612	1	-1
1695	1.5	2.01	-58.98	10.602	41.169	1	-1
1696	1.5	2.01	-58.98	10.602	40.786	1	-1
1697	1.5	2.01	-58.98	10.602	40.5	1	-1
1698	1.5	2.01	-58.98	10.602	39.164	1	-1
