*** SHMS RUNS ***
name 	 angle  momemtum
21deg5p1 21.035 5.013
21deg4p0 21.035 3.932
21deg3p3 21.035 3.244
21deg2p7 21.035 2.654
39deg2p5 38.975 2.458
39deg2p0 38.975 1.966
39deg1p6 38.975 1.573
39deg1p3 38.975 1.278
33deg3p2 32.975 3.146
33deg2p6 32.975 2.556
33deg2p1 32.975 2.064
33deg1p7 32.975 1.671
29deg3p7 28.99 3.637
29deg3p0 28.99 2.949
29deg2p4 28.99 2.359
29deg2p0 28.99 1.966
25deg4p4 24.98 4.325
25deg3p5 24.98 3.441
25deg3p0 24.98 2.949
25deg2p5 24.98 2.458
****  HMS RUNS *****
21deg5p7 -20.995 5.7
21deg5p1 -20.995 5.1
21deg4p5 -20.995 4.5
21deg4p0 -20.995 4.0
21deg3p3 -20.995 3.3
59deg1p5 -58.98 1.5
59deg1p4 -58.98 1.35
59deg1p2 -58.98 1.18
59deg1p1 -58.98 1.05
