Run	Mom	Tgt	Theta	Beam E	BCM1PS2	PS3	
2861	1.769	2.01	39.01	10.602	59.091	-1	1
2862	1.769	2.01	39.01	10.602	56.433	-1	1
2863	1.769	1.01	39.01	10.602	63.544	-1	1
2864	1.769	1.01	39.01	10.602	58.773	-1	1
2865	1.769	1.01	39.01	10.602	54.87	-1	1
2866	1.769	26.98	39.01	10.602	40.095	-1	1
2867	1.278	1.01	39.01	10.602	58.064	-1	1
2868	1.278	1.01	39.01	10.602	58.784	-1	1
2869	1.278	1.01	39.01	10.602	52.237	-1	1
2870	1.278	26.98	39.01	10.602	39.831	-1	1
2872	1.278	2.01	39.01	10.602	56.877	-1	1
2873	1.278	2.01	39.01	10.602	56.038	-1	1
2874	1.278	2.01	39.01	10.602	58.358	-1	1
2875	2.654	2.01	28.99	10.602	50.434	-1	1
2876	2.654	2.01	28.99	10.602	57.157	-1	1
2877	2.654	2.01	28.99	10.602	59.267	-1	1
2878	2.654	26.98	28.99	10.602	39.053	-1	1
2879	2.654	1.01	28.99	10.602	49.848	-1	1
2880	2.654	1.01	28.99	10.602	51.863	-1	1
2881	1.966	1.01	28.99	10.602	55.031	-1	1
2882	1.966	1.01	28.99	10.602	55.075	-1	1
2883	1.966	26.98	28.99	10.602	39.971	-1	1
2884	1.966	2.01	28.99	10.602	41.538	-1	1
3085	2.654	2.01	20.985	10.602	48.749	-1	1
3086	2.654	2.01	20.985	10.602	55.713	-1	1
3087	2.654	26.98	20.985	10.602	38.319	-1	1
3088	2.654	26.98	20.985	10.602	37.48	-1	1
3089	2.654	1.01	20.985	10.602	56.01	-1	1
3090	2.654	1.01	20.985	10.602	46.622	-1	1
3091	2.654	1.01	20.985	10.602	55.671	-1	1
3092	2.654	10.01	20.985	10.602	37.571	-1	1
3093	2.654	10.01	20.985	10.602	37.632	-1	1
3094	2.654	11.01	20.985	10.602	38.163	-1	1
3095	2.654	11.01	20.985	10.602	36.882	-1	1
3096	2.654	9.01	20.985	10.602	37.516	-1	1
3097	2.654	9.01	20.985	10.602	37.392	-1	1
3098	2.654	12.01	20.985	10.602	52.252	-1	1
3099	2.654	12.01	20.985	10.602	55.822	-1	1
3100	2.654	1.01	20.985	10.602	55.875	-1	1
3101	2.654	2.01	20.985	10.602	55.067	-1	1
