Run	Mom	Tgt	Theta	Beam E	BCM1PS2	PS3	
2484	5.013	1.01	21.035	10.602	46.953	1	-1
2485	5.013	1.01	21.035	10.602	42.8	1	-1
2486	5.013	1.01	21.035	10.602	45.927	1	-1
2487	5.013	1.01	21.035	10.602	45.809	1	-1
2488	5.013	1.01	21.035	10.602	44.626	1	-1
2489	5.013	26.98	21.035	10.602	38.267	1	-1
2490	5.013	2.01	21.035	10.602	48.337	2	-1
2491	5.013	2.01	21.035	10.602	47.078	2	-1
2492	5.013	2.01	21.035	10.602	46.403	2	-1
2493	5.013	2.01	21.035	10.602	47.984	2	-1
2494	5.013	2.01	21.035	10.602	48.678	2	-1
2495	5.013	10.01	21.035	10.602	37.226	1	-1
2496	5.013	10.01	21.035	10.602	36.53	1	-1
2497	5.013	11.01	21.035	10.602	29.96	1	-1
2498	5.013	11.01	21.035	10.602	32.025	1	-1
2502	5.013	9.01	21.035	10.602	30.369	1	-1
2503	5.013	9.01	21.035	10.602	25.747	1	-1
2504	5.013	9.01	21.035	10.602	22.605	1	-1
2505	5.013	9.01	21.035	10.602	26.238	1	-1
2507	5.013	12.01	21.035	10.602	29.712	1	-1
2508	5.013	12.01	21.035	10.602	28.669	1	-1
2509	3.932	12.01	21.035	10.602	36.132	1	-1
2510	3.932	12.01	21.035	10.602	36.771	1	-1
2511	3.932	9.01	21.035	10.602	33.352	2	-1
2512	3.932	9.01	21.035	10.602	29.904	2	-1
2513	3.932	11.01	21.035	10.602	32.571	1	-1
2514	3.932	11.01	21.035	10.602	36.532	1	-1
2515	3.932	10.01	21.035	10.602	30.394	1	-1
2516	3.932	10.01	21.035	10.602	35.706	1	-1
2517	3.932	26.98	21.035	10.602	35.04	1	-1
2518	3.932	2.01	21.035	10.602	32.001	5	-1
2519	3.932	2.01	21.035	10.602	38.99	5	-1
2520	3.932	2.01	21.035	10.602	37.028	5	-1
2521	3.932	1.01	21.035	10.602	35.075	2	-1
2522	3.932	1.01	21.035	10.602	36.427	2	-1
2523	3.932	1.01	21.035	10.602	34.663	2	-1
2524	3.244	1.01	21.035	10.602	36.606	3	-1
2525	3.244	1.01	21.035	10.602	36.587	3	-1
2526	3.244	1.01	21.035	10.602	37.382	3	-1
2527	3.244	2.01	21.035	10.602	38.137	3	-1
2528	3.244	2.01	21.035	10.602	38.862	3	-1
2529	3.244	2.01	21.035	10.602	35.361	9	-1
2530	3.244	26.98	21.035	10.602	35.776	2	-1
2531	3.244	26.98	21.035	10.602	38.789	2	-1
2532	3.244	10.01	21.035	10.602	36.861	2	-1
2533	3.244	10.01	21.035	10.602	36.513	2	-1
2534	3.244	10.01	21.035	10.602	38.143	2	-1
2535	3.244	10.01	21.035	10.602	35.786	2	-1
2536	3.244	11.01	21.035	10.602	36.527	2	-1
2537	3.244	11.01	21.035	10.602	32.521	2	-1
2538	3.244	11.01	21.035	10.602	37.214	2	-1
2540	3.244	12.01	21.035	10.602	44.7	2	-1
2541	3.244	12.01	21.035	10.602	39.419	2	-1
2542	3.244	9.01	21.035	10.602	36.164	2	-1
2543	3.244	9.01	21.035	10.602	31.264	2	-1
2544	3.244	9.01	21.035	10.602	37.641	2	-1
2545	3.244	9.01	21.035	10.602	37.125	2	-1
2547	2.654	12.01	21.035	10.602	40.611	5	-1
2548	2.654	12.01	21.035	10.602	34.354	5	-1
2549	2.654	2.01	21.035	10.602	54.444	17	-1
2550	2.654	2.01	21.035	10.602	49.227	17	-1
2551	2.654	1.01	21.035	10.602	42.698	17	-1
2552	2.654	1.01	21.035	10.602	43.483	9	-1
2553	2.654	26.98	21.035	10.602	38.625	3	-1
2554	2.654	26.98	21.035	10.602	34.697	3	-1
2555	2.654	9.01	21.035	10.602	37.474	17	-1
