 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.6020   2.1600  16.0000   0.1120   1.7742  0.13000E+03  0.12998E+03  0.11469E-01  0.18512E+03  0.20710E+01  0.13009E+02  0.17004E+03  0.10000E+01
   10.6020   2.1700  16.0000   0.1126   1.7825  0.12966E+03  0.12965E+03  0.11455E-01  0.18419E+03  0.20131E+01  0.12807E+02  0.16937E+03  0.10000E+01
   10.6020   2.1800  16.0000   0.1133   1.7907  0.12933E+03  0.12932E+03  0.11440E-01  0.18325E+03  0.19567E+01  0.12607E+02  0.16869E+03  0.10000E+01
   10.6020   2.1900  16.0000   0.1140   1.7989  0.12900E+03  0.12899E+03  0.11425E-01  0.18233E+03  0.19019E+01  0.12411E+02  0.16802E+03  0.10000E+01
   10.6020   2.2000  16.0000   0.1146   1.8071  0.12868E+03  0.12866E+03  0.11410E-01  0.18143E+03  0.18486E+01  0.12218E+02  0.16736E+03  0.10000E+01
   10.6020   2.2100  16.0000   0.1153   1.8153  0.12835E+03  0.12834E+03  0.11395E-01  0.18052E+03  0.17968E+01  0.12028E+02  0.16670E+03  0.10000E+01
   10.6020   2.2200  16.0000   0.1159   1.8235  0.12803E+03  0.12802E+03  0.11379E-01  0.17963E+03  0.17465E+01  0.11841E+02  0.16604E+03  0.10000E+01
   10.6020   2.2300  16.0000   0.1166   1.8317  0.12771E+03  0.12770E+03  0.11363E-01  0.17875E+03  0.16975E+01  0.11658E+02  0.16539E+03  0.10000E+01
   10.6020   2.2400  16.0000   0.1173   1.8400  0.12739E+03  0.12738E+03  0.11346E-01  0.17790E+03  0.16499E+01  0.11477E+02  0.16477E+03  0.10000E+01
   10.6020   2.2500  16.0000   0.1179   1.8482  0.12707E+03  0.12706E+03  0.11329E-01  0.17704E+03  0.16035E+01  0.11300E+02  0.16413E+03  0.10000E+01
   10.6020   2.2600  16.0000   0.1186   1.8564  0.12675E+03  0.12674E+03  0.11312E-01  0.17617E+03  0.15585E+01  0.11125E+02  0.16349E+03  0.10000E+01
   10.6020   2.2700  16.0000   0.1193   1.8646  0.12644E+03  0.12643E+03  0.11294E-01  0.17531E+03  0.15147E+01  0.10953E+02  0.16284E+03  0.10000E+01
   10.6020   2.2800  16.0000   0.1199   1.8728  0.12613E+03  0.12612E+03  0.11276E-01  0.17446E+03  0.14721E+01  0.10784E+02  0.16220E+03  0.10000E+01
   10.6020   2.2900  16.0000   0.1206   1.8810  0.12582E+03  0.12581E+03  0.11258E-01  0.17364E+03  0.14307E+01  0.10618E+02  0.16159E+03  0.10000E+01
   10.6020   2.3000  16.0000   0.1213   1.8892  0.12551E+03  0.12550E+03  0.11240E-01  0.17282E+03  0.13905E+01  0.10454E+02  0.16097E+03  0.10000E+01
   10.6020   2.3100  16.0000   0.1219   1.8975  0.12520E+03  0.12519E+03  0.11221E-01  0.17200E+03  0.13513E+01  0.10294E+02  0.16036E+03  0.10000E+01
   10.6020   2.3200  16.0000   0.1226   1.9057  0.12490E+03  0.12489E+03  0.11202E-01  0.17120E+03  0.13132E+01  0.10135E+02  0.15975E+03  0.10000E+01
   10.6020   2.3300  16.0000   0.1233   1.9139  0.12459E+03  0.12458E+03  0.11182E-01  0.17040E+03  0.12762E+01  0.99797E+01  0.15914E+03  0.10000E+01
   10.6020   2.3400  16.0000   0.1240   1.9221  0.12429E+03  0.12428E+03  0.11163E-01  0.16961E+03  0.12402E+01  0.98266E+01  0.15854E+03  0.10000E+01
   10.6020   2.3500  16.0000   0.1247   1.9303  0.12399E+03  0.12398E+03  0.11142E-01  0.16882E+03  0.12051E+01  0.96759E+01  0.15794E+03  0.10000E+01
   10.6020   2.3600  16.0000   0.1253   1.9385  0.12369E+03  0.12368E+03  0.11122E-01  0.16804E+03  0.11710E+01  0.95278E+01  0.15734E+03  0.10000E+01
   10.6020   2.3700  16.0000   0.1260   1.9467  0.12340E+03  0.12339E+03  0.11101E-01  0.16727E+03  0.11379E+01  0.93820E+01  0.15675E+03  0.10000E+01
   10.6020   2.3800  16.0000   0.1267   1.9549  0.12310E+03  0.12309E+03  0.11080E-01  0.16651E+03  0.11056E+01  0.92385E+01  0.15616E+03  0.10000E+01
   10.6020   2.3900  16.0000   0.1274   1.9632  0.12281E+03  0.12280E+03  0.11059E-01  0.16575E+03  0.10743E+01  0.90974E+01  0.15558E+03  0.10000E+01
   10.6020   2.4000  16.0000   0.1281   1.9714  0.12252E+03  0.12251E+03  0.11037E-01  0.16500E+03  0.10438E+01  0.89584E+01  0.15500E+03  0.10000E+01
   10.6020   2.4100  16.0000   0.1288   1.9796  0.12223E+03  0.12222E+03  0.11015E-01  0.16426E+03  0.10141E+01  0.88216E+01  0.15443E+03  0.10000E+01
