 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.6020   2.1600  16.0000   0.1120   1.7742  0.21244E+02  0.21243E+02  0.11917E-04  0.31560E+02  0.15818E+00  0.31356E+01  0.28266E+02  0.10000E+01
   10.6020   2.1700  16.0000   0.1126   1.7825  0.21189E+02  0.21189E+02  0.12013E-04  0.31388E+02  0.15425E+00  0.30803E+01  0.28153E+02  0.10000E+01
   10.6020   2.1800  16.0000   0.1133   1.7907  0.21135E+02  0.21135E+02  0.12108E-04  0.31218E+02  0.15043E+00  0.30321E+01  0.28035E+02  0.10000E+01
   10.6020   2.1900  16.0000   0.1140   1.7989  0.21081E+02  0.21081E+02  0.12101E-04  0.31054E+02  0.14672E+00  0.29796E+01  0.27928E+02  0.10000E+01
   10.6020   2.2000  16.0000   0.1146   1.8071  0.21028E+02  0.21028E+02  0.12196E-04  0.30885E+02  0.14317E+00  0.29252E+01  0.27817E+02  0.10000E+01
   10.6020   2.2100  16.0000   0.1153   1.8153  0.20975E+02  0.20975E+02  0.12292E-04  0.30726E+02  0.13972E+00  0.28800E+01  0.27706E+02  0.10000E+01
   10.6020   2.2200  16.0000   0.1159   1.8235  0.20922E+02  0.20922E+02  0.12387E-04  0.30570E+02  0.13632E+00  0.28372E+01  0.27596E+02  0.10000E+01
   10.6020   2.2300  16.0000   0.1166   1.8317  0.20870E+02  0.20870E+02  0.12380E-04  0.30401E+02  0.13311E+00  0.27799E+01  0.27488E+02  0.10000E+01
   10.6020   2.2400  16.0000   0.1173   1.8400  0.20818E+02  0.20818E+02  0.12526E-04  0.30243E+02  0.12993E+00  0.27337E+01  0.27379E+02  0.10000E+01
   10.6020   2.2500  16.0000   0.1179   1.8482  0.20767E+02  0.20767E+02  0.12672E-04  0.30088E+02  0.12683E+00  0.26895E+01  0.27272E+02  0.10000E+01
   10.6020   2.2600  16.0000   0.1186   1.8564  0.20716E+02  0.20716E+02  0.12818E-04  0.29927E+02  0.12381E+00  0.26381E+01  0.27165E+02  0.10000E+01
   10.6020   2.2700  16.0000   0.1193   1.8646  0.20665E+02  0.20665E+02  0.12811E-04  0.29775E+02  0.12087E+00  0.25963E+01  0.27058E+02  0.10000E+01
   10.6020   2.2800  16.0000   0.1199   1.8728  0.20614E+02  0.20614E+02  0.12957E-04  0.29623E+02  0.11799E+00  0.25527E+01  0.26953E+02  0.10000E+01
   10.6020   2.2900  16.0000   0.1206   1.8810  0.20564E+02  0.20564E+02  0.13102E-04  0.29473E+02  0.11520E+00  0.25087E+01  0.26849E+02  0.10000E+01
   10.6020   2.3000  16.0000   0.1213   1.8892  0.20515E+02  0.20515E+02  0.13095E-04  0.29327E+02  0.11248E+00  0.24696E+01  0.26745E+02  0.10000E+01
