 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.6020   2.1600  16.0000   0.1120   1.7742  0.11442E+02  0.11442E+02  0.00000E+00  0.18202E+02  0.28194E+01  0.00000E+00  0.15383E+02  0.10000E+01
   10.6020   2.1700  16.0000   0.1126   1.7825  0.11417E+02  0.11417E+02  0.00000E+00  0.17675E+02  0.27728E+01  0.00000E+00  0.14902E+02  0.10000E+01
   10.6020   2.1800  16.0000   0.1133   1.7907  0.11393E+02  0.11393E+02  0.00000E+00  0.17993E+02  0.27194E+01  0.00000E+00  0.15273E+02  0.10000E+01
   10.6020   2.1900  16.0000   0.1140   1.7989  0.11369E+02  0.11369E+02  0.00000E+00  0.17898E+02  0.26822E+01  0.00000E+00  0.15216E+02  0.10000E+01
   10.6020   2.2000  16.0000   0.1146   1.8071  0.11345E+02  0.11345E+02  0.00000E+00  0.17800E+02  0.26381E+01  0.00000E+00  0.15162E+02  0.10000E+01
   10.6020   2.2100  16.0000   0.1153   1.8153  0.11322E+02  0.11322E+02  0.00000E+00  0.17703E+02  0.25948E+01  0.00000E+00  0.15108E+02  0.10000E+01
   10.6020   2.2200  16.0000   0.1159   1.8235  0.11298E+02  0.11298E+02  0.00000E+00  0.17608E+02  0.25523E+01  0.00000E+00  0.15055E+02  0.10000E+01
   10.6020   2.2300  16.0000   0.1166   1.8317  0.11275E+02  0.11275E+02  0.00000E+00  0.17516E+02  0.25105E+01  0.00000E+00  0.15005E+02  0.10000E+01
   10.6020   2.2400  16.0000   0.1173   1.8400  0.11252E+02  0.11252E+02  0.00000E+00  0.17422E+02  0.24695E+01  0.00000E+00  0.14953E+02  0.10000E+01
   10.6020   2.2500  16.0000   0.1179   1.8482  0.11229E+02  0.11229E+02  0.00000E+00  0.17330E+02  0.24293E+01  0.00000E+00  0.14901E+02  0.10000E+01
